0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
19.92,11.44,4.89,11.74,8.61,17.35,17.88,22.98,18.35,18.74,20.51,16.17,2.13,27.8,18.86,19.22,18.65,19.86,19.46,21.13,19.04,34.57,32.06,30.14,26.81,29.03,26.24,8.09,22.86,23.27,18.98,34.71,30.11,16.2,19.5,20.16,0.0,22.06,19.97,12.04,12.18,21.13,21.13,18.96,197.94,31.54,18.98,12.73,10.5,21.51,22.18,23.23,23.23,21.34,21.34,22.29
4.06,13.32,16.74,29.12,25.99,33.32,35.49,6.19,39.31,39.7,41.47,36.7,19.19,8.65,39.38,39.74,39.18,40.39,39.99,41.66,41.82,43.79,41.28,39.36,43.46,38.25,39.92,16.18,40.47,40.88,6.38,18.69,17.77,25.01,28.72,29.38,20.43,0.0,40.5,32.52,32.01,41.66,41.66,35.05,207.16,52.07,6.38,12.37,12.64,42.04,42.71,43.76,43.76,41.87,41.87,39.9
35.35,25.81,20.32,10.79,12.86,10.67,9.68,38.41,8.84,9.23,7.58,6.2,19.4,42.97,2.56,2.14,2.87,2.62,0.56,1.67,7.09,32.78,30.27,28.35,19.83,25.06,23.63,23.52,10.59,9.33,34.14,47.83,42.64,25.0,20.86,21.53,20.63,37.49,0.0,8.73,8.88,1.67,1.67,10.82,190.99,15.72,34.14,27.52,25.93,3.33,6.36,4.07,4.07,2.34,1.56,5.17
26.69,17.8,11.67,2.14,4.21,8.21,8.75,29.75,9.45,9.84,11.61,6.84,10.74,34.96,9.52,9.88,9.32,10.53,10.13,11.8,9.71,31.29,28.78,26.86,21.74,25.75,21.17,14.86,13.72,14.13,26.14,39.82,34.63,17.0,16.22,16.88,11.97,28.83,10.64,0.0,2.63,11.8,11.8,9.82,194.66,22.21,26.14,19.52,17.27,12.18,12.84,13.9,13.9,12.0,12.01,13.15
27.14,17.63,12.11,2.58,4.65,8.04,8.57,30.19,7.3,7.69,9.46,4.69,11.18,34.79,7.38,7.74,7.17,8.38,7.99,9.65,7.56,31.12,28.61,26.69,21.57,25.57,21.0,15.31,13.55,13.96,25.97,39.65,34.46,16.82,16.04,16.71,12.41,29.27,8.49,0.52,0.0,9.65,9.65,9.65,194.48,20.06,25.97,19.34,17.71,10.03,10.7,11.75,11.75,9.86,9.86,7.05
36.29,26.74,21.26,11.73,13.8,17.15,10.93,39.35,8.41,8.8,6.05,5.77,20.34,43.9,2.33,1.92,2.64,1.1,1.8,0.0,8.34,40.23,37.72,35.8,21.08,34.69,30.11,24.46,11.83,10.58,35.08,48.76,43.58,25.94,25.16,25.82,21.56,38.42,1.67,9.67,9.82,0.0,0.0,12.07,192.24,14.2,35.08,28.46,26.87,1.8,4.83,3.24,3.24,1.35,0.9,6.41
36.29,26.74,21.26,11.73,13.8,17.15,10.93,39.35,8.41,8.8,6.05,5.77,20.34,43.9,2.33,1.92,2.64,1.1,1.8,0.0,8.34,40.23,37.72,35.8,21.08,34.69,30.11,24.46,11.83,10.58,35.08,48.76,43.58,25.94,25.16,25.82,21.56,38.42,1.67,9.67,9.82,0.0,0.0,12.07,192.24,14.2,35.08,28.46,26.87,1.8,4.83,3.24,3.24,1.35,0.9,6.41
34.23,20.34,19.2,10.29,11.63,1.62,2.13,37.29,16.66,17.05,18.82,14.05,18.28,37.5,16.73,17.09,16.53,17.74,10.32,12.07,8.59,23.85,21.34,19.42,15.36,18.3,14.69,22.4,6.11,6.53,28.68,42.36,38.09,15.58,11.93,12.59,19.5,33.86,10.82,9.87,9.36,12.07,12.07,0.0,187.21,29.42,28.68,22.05,21.9,19.39,20.06,13.26,13.26,12.22,11.38,6.66
208.44,191.96,196.91,194.06,193.21,185.82,184.84,210.56,200.42,200.81,202.58,197.82,195.37,209.58,192.58,192.17,192.89,192.65,189.95,191.7,190.2,176.32,173.8,171.89,171.1,168.87,172.46,201.28,180.92,184.37,200.75,214.61,204.99,182.48,178.83,177.82,196.6,205.94,190.46,193.64,193.12,191.7,191.7,185.98,0.0,223.88,200.75,194.13,194.81,193.36,196.39,192.9,192.9,191.86,191.02,188.27
46.97,37.42,31.94,22.41,24.48,27.83,28.36,50.02,19.09,19.48,14.57,16.45,31.01,54.58,15.3,14.89,15.09,14.07,15.4,14.42,21.93,50.91,48.4,46.48,34.06,45.36,40.79,35.14,25.43,24.18,45.76,59.44,54.25,36.62,35.84,36.5,32.24,49.1,15.84,20.35,20.5,14.42,14.42,29.44,225.95,0.0,45.76,39.14,37.54,12.61,9.43,16.52,16.52,14.63,14.64,20.01
